Operacja;Cmax;T;P
29300;12760;23.107;3.2171
29400;12807;22.9917;1.19003
29500;12611;22.877;0.0164254
29600;12764;22.7629;0.768291
29700;12785;22.6494;0.137132
29800;12649;22.5364;0.766259
29900;12840;22.424;0.146961
30000;12736;22.3122;0.914263
30100;12650;22.2009;0.0961113
30200;12638;22.0902;0.113846
30300;12687;21.98;1
30400;12715;21.8704;18.6591
30500;12682;21.7613;1
30600;12809;21.6527;0.415827
30700;12841;21.5447;2.00617
30800;12779;21.4373;0.0884179
30900;12706;21.3304;0.324602
31000;12627;21.224;0.719056
31100;12851;21.1181;0.867571
31200;12858;21.0128;0.149031
31300;12866;20.908;0.116218
31400;12875;20.8037;3.6614
31500;12819;20.6999;0.0164687
31600;12774;20.5967;0.165894
31700;12828;20.494;0.0717246
31800;12828;20.3918;0.067396
31900;12981;20.29;1
32000;12841;20.1888;0.0724244
32100;12698;20.0881;0.523537
32200;12789;19.988;2.85946
32300;12816;19.8883;0.20009
32400;12781;19.7891;0.179403
32500;12753;19.6904;0.131145
32600;12644;19.5922;0.664762
32700;12668;19.4944;0.0537232
32800;12722;19.3972;1
32900;12792;19.3005;0.0495333
33000;12710;19.2042;0.272042
33100;12698;19.1084;0.0999935
33200;12538;19.0131;0.229313
33300;12552;18.9183;0.157227
33400;12540;18.8239;0.689446
33500;12501;18.73;0.725901
33600;12676;18.6366;3.82457
33700;12651;18.5437;1.38204
33800;12689;18.4512;4.09237
33900;12575;18.3591;0.0588728
34000;12593;18.2676;0.0441447
34100;12672;18.1765;0.191957
34200;12710;18.0858;1
34300;12749;17.9956;0.311314
34400;12715;17.9058;0.0189645
34500;12748;17.8165;0.714076
34600;12803;17.7277;3.65979
34700;12774;17.6393;0.0237148
34800;12717;17.5513;1.98122
34900;12748;17.4637;1.7729
35000;12730;17.3766;0.0891853
35100;12664;17.29;6.00713
35200;12552;17.2037;0.527611
35300;12463;17.1179;0.00181953
35400;12471;17.0325;0.703093
35500;12542;16.9476;1.06078
35600;12549;16.8631;0.435955
35700;12518;16.779;0.00957423
35800;12456;16.6953;0.383523
35900;12489;16.612;0.00370392
36000;12555;16.5291;0.00517751
36100;12688;16.4467;0.0230578
36200;12619;16.3647;0.19207
36300;12678;16.2831;173.945
36400;12538;16.2018;0.213731
36500;12519;16.121;0.0310014
36600;12649;16.0406;0.106002
36700;12749;15.9606;0.778321
36800;12749;15.881;0.0626242
36900;12697;15.8018;0.684064
37000;12852;15.723;0.564164
37100;12658;15.6446;0.495039
37200;12720;15.5665;0.0311488
37300;12621;15.4889;0.000312691
37400;12593;15.4116;1
37500;12614;15.3348;1
37600;12579;15.2583;0.307375
37700;12548;15.1822;0.250775
37800;12538;15.1065;2.5263
37900;12589;15.0311;0.00250974
38000;12704;14.9562;0.669534
38100;12687;14.8816;0.243864
38200;12600;14.8073;0.000164615
38300;12512;14.7335;0.0195142
38400;12649;14.66;0.000449195
38500;12592;14.5869;0.410158
38600;12573;14.5141;0.759121
38700;12509;14.4417;0.0254785
38800;12724;14.3697;0.377467
38900;12564;14.298;0.26478
39000;12484;14.2267;0.18508
39100;12562;14.1558;0.00819936
39200;12625;14.0852;0.14706
39300;12687;14.0149;0.0096778
39400;12584;13.945;0.0145392
39500;12454;13.8754;0.00644222
39600;12625;13.8062;2.06331
39700;12580;13.7374;0.000992347
39800;12501;13.6689;0.000297336
39900;12603;13.6007;0.0130624
40000;12582;13.5329;0.0095107
40100;12575;13.4654;1.81143
40200;12572;13.3982;4.88522e-05
40300;12457;13.3314;0.0149863
40400;12449;13.2649;0.104182
40500;12337;13.1987;0.000939301
40600;12481;13.1329;0.00154566
40700;12528;13.0674;0.172026
40800;12493;13.0022;0.0537947
40900;12390;12.9374;0.0131867
41000;12465;12.8728;0.856102
41100;12505;12.8086;0.0601685
41200;12420;12.7447;0.177959
